MEASURED_IN_DATE,P_ZAB,WELL_NAME,OIL_RATE_5_days_ago,OIL_RATE_4_days_ago,OIL_RATE_3_days_ago,OIL_RATE_2_days_ago,OIL_RATE_1_days_ago,TARGET_OIL_RATE
2020-11-03,0.0,1,60.79999999999999,60.47999999999999,60.79999999999999,60.47999999999999,60.79999999999999,59.83999999999999
2020-11-04,0.0,1,60.47999999999999,60.79999999999999,60.47999999999999,60.79999999999999,59.83999999999999,59.51999999999999
2020-11-05,5.615008458192961e-12,1,60.79999999999999,60.47999999999999,60.79999999999999,59.83999999999999,59.51999999999999,57.35000000000001
2020-11-06,0.0,1,60.47999999999999,60.79999999999999,59.83999999999999,59.51999999999999,57.35000000000001,57.35000000000001
2020-11-07,1.1183803882985899e-11,1,60.79999999999999,59.83999999999999,59.51999999999999,57.35000000000001,57.35000000000001,53.650000000000006
2020-11-08,-6.506357674851411e-10,1,59.83999999999999,59.51999999999999,57.35000000000001,57.35000000000001,53.650000000000006,53.650000000000006
2020-11-09,0.0,1,59.51999999999999,57.35000000000001,57.35000000000001,53.650000000000006,53.650000000000006,53.650000000000006
2020-11-10,0.0,1,57.35000000000001,57.35000000000001,53.650000000000006,53.650000000000006,53.650000000000006,53.36000000000001
2020-11-11,7.398054391316577e-12,1,57.35000000000001,53.650000000000006,53.650000000000006,53.650000000000006,53.36000000000001,51.52
2020-11-12,-1.923960990524165e-12,1,53.650000000000006,53.650000000000006,53.650000000000006,53.36000000000001,51.52,50.68000000000001
2020-11-13,2.1881746414820206e-10,1,53.650000000000006,53.650000000000006,53.36000000000001,51.52,50.68000000000001,49.14
2020-11-14,-1.1183803882985899e-11,1,53.650000000000006,53.36000000000001,51.52,50.68000000000001,49.14,48.870000000000005
2020-11-15,7.819145053655773e-10,1,53.36000000000001,51.52,50.68000000000001,49.14,48.870000000000005,49.14
2020-11-16,0.0,1,51.52,50.68000000000001,49.14,48.870000000000005,49.14,49.14
2020-11-17,0.0,1,50.68000000000001,49.14,48.870000000000005,49.14,49.14,49.14
2020-11-18,-7.398054391316577e-12,1,49.14,48.870000000000005,49.14,49.14,49.14,49.68000000000001
2020-11-19,-3.6910474676687954e-12,1,48.870000000000005,49.14,49.14,49.14,49.68000000000001,49.68000000000001
2020-11-20,-2.1881746414820206e-10,1,49.14,49.14,49.14,49.68000000000001,49.68000000000001,49.68000000000001
2020-11-21,0.0,1,49.14,49.14,49.68000000000001,49.68000000000001,49.68000000000001,49.68000000000001
2020-11-22,-1.3127873788043587e-10,1,49.14,49.68000000000001,49.68000000000001,49.68000000000001,49.68000000000001,49.41
2020-11-23,6.3717087162018515e-12,1,49.68000000000001,49.68000000000001,49.68000000000001,49.68000000000001,49.41,47.58
2020-11-24,6.3538341255053865e-12,1,49.68000000000001,49.68000000000001,49.68000000000001,49.41,47.58,43.68
2020-11-25,6.336042801535768e-12,1,49.68000000000001,49.68000000000001,49.41,47.58,43.68,43.44
2020-11-26,2.98081337390954e-10,1,49.68000000000001,49.41,47.58,43.68,43.44,43.44
2020-11-27,0.0,1,49.41,47.58,43.68,43.44,43.44,44.64
2020-11-28,0.0,1,47.58,43.68,43.44,43.44,44.64,44.16
2020-11-29,0.0,1,43.68,43.44,43.44,44.64,44.16,44.16
2020-11-30,-3.6862191077347006e-10,1,43.44,43.44,44.64,44.16,44.16,43.92
2020-12-01,-6.3538341255053865e-12,1,43.44,44.64,44.16,44.16,43.92,43.68
2020-12-02,-9.926837130080911e-11,1,44.64,44.16,44.16,43.92,43.68,41.86
2020-12-03,-2.98081337390954e-10,1,44.16,44.16,43.92,43.68,41.86,41.63
2020-12-04,0.0,1,44.16,43.92,43.68,41.86,41.63,41.63
2020-12-05,0.0,1,43.92,43.68,41.86,41.63,41.63,41.86
2020-12-06,0.0,1,43.68,41.86,41.63,41.63,41.86,41.86
2020-12-07,3.6225020205726816e-10,1,41.86,41.63,41.63,41.86,41.86,41.86
2020-12-08,0.0,1,41.63,41.63,41.86,41.86,41.86,41.86
2020-12-09,5.883843412490819e-11,1,41.63,41.86,41.86,41.86,41.86,41.63
2020-12-10,0.0,1,41.86,41.86,41.86,41.86,41.63,41.86
2020-12-11,0.0,1,41.86,41.86,41.86,41.63,41.86,41.86
2020-12-12,0.0,1,41.86,41.86,41.63,41.86,41.86,41.4
2020-12-13,3.4093894374365163e-11,1,41.86,41.63,41.86,41.86,41.4,41.4
2020-12-14,0.0,1,41.63,41.86,41.86,41.4,41.4,41.17
2020-12-15,0.0,1,41.86,41.86,41.4,41.4,41.17,41.4
2020-12-16,1.6574386307866007e-10,1,41.86,41.4,41.4,41.17,41.4,41.4
2020-12-17,0.0,1,41.4,41.4,41.17,41.4,41.4,41.4
2020-12-18,0.0,1,41.4,41.17,41.4,41.4,41.4,41.4
2020-12-19,0.0,1,41.17,41.4,41.4,41.4,41.4,41.4
2020-12-20,-6.631309390492389e-11,1,41.4,41.4,41.4,41.4,41.4,41.4
2020-12-21,0.0,1,41.4,41.4,41.4,41.4,41.4,41.4
2020-12-22,0.0,1,41.4,41.4,41.4,41.4,41.4,41.17
2020-12-23,-1.3164996870429488e-10,1,41.4,41.4,41.4,41.4,41.17,41.63
2020-12-24,-6.498440674462813e-12,1,41.4,41.4,41.4,41.17,41.63,43.2
2020-12-25,0.0,1,41.4,41.4,41.17,41.63,43.2,43.2
2020-12-26,2.058568898677393e-09,1,41.4,41.17,41.63,43.2,43.2,43.2
2020-12-27,3.221919953055874e-11,1,41.17,41.63,43.2,43.2,43.2,43.44
2020-12-28,0.0,1,41.63,43.2,43.2,43.2,43.44,43.2
2020-12-29,-6.783160144685496e-11,1,43.2,43.2,43.2,43.44,43.2,42.96
2020-12-30,0.0,1,43.2,43.2,43.44,43.2,42.96,42.96
2020-12-31,6.498440674462813e-12,1,43.2,43.44,43.2,42.96,42.96,42.72
2021-01-01,0.0,1,43.44,43.2,42.96,42.96,42.72,42.72
2021-01-02,-2.058568898677393e-09,1,43.2,42.96,42.96,42.72,42.72,42.72
2021-01-03,0.0,1,42.96,42.96,42.72,42.72,42.72,42.48
2021-01-04,-1.926568432564224e-09,1,42.96,42.72,42.72,42.72,42.48,42.72
2021-01-05,7.09929615094751e-11,1,42.72,42.72,42.72,42.48,42.72,42.48
2021-01-06,0.0,1,42.72,42.72,42.48,42.72,42.48,42.48
2021-01-07,0.0,1,42.72,42.48,42.72,42.48,42.48,42.24
2021-01-08,0.0,1,42.48,42.72,42.48,42.48,42.24,42.48
2021-01-09,-3.161360062620133e-12,1,42.72,42.48,42.48,42.24,42.48,42.72
2021-01-10,0.0,1,42.48,42.48,42.24,42.48,42.72,42.96
2021-01-11,1.9106949078473434e-09,1,42.48,42.24,42.48,42.72,42.96,48.330000000000005
2021-01-12,2.847472257982986e-11,1,42.24,42.48,42.72,42.96,48.330000000000005,48.06
2021-01-13,0.0,1,42.48,42.72,42.96,48.330000000000005,48.06,48.06
2021-01-14,0.0,1,42.72,42.96,48.330000000000005,48.06,48.06,47.790000000000006
2021-01-15,3.1195906968761727e-11,1,42.96,48.330000000000005,48.06,48.06,47.790000000000006,47.790000000000006
2021-01-16,3.161360062620133e-12,1,48.330000000000005,48.06,48.06,47.790000000000006,47.790000000000006,47.52
2021-01-17,0.0,1,48.06,48.06,47.790000000000006,47.790000000000006,47.52,47.52
2021-01-18,1.5873524716880638e-11,1,48.06,47.790000000000006,47.790000000000006,47.52,47.52,47.52
2021-01-19,-8.176034849149971e-11,1,47.790000000000006,47.790000000000006,47.52,47.52,47.52,44.0
2021-01-20,0.0,1,47.790000000000006,47.52,47.52,47.52,44.0,44.0
2021-01-21,0.0,1,47.52,47.52,47.52,44.0,44.0,44.0
2021-01-22,6.187678147639986e-11,1,47.52,47.52,44.0,44.0,44.0,44.0
2021-01-23,0.0,1,47.52,44.0,44.0,44.0,44.0,43.75
2021-01-24,0.0,1,44.0,44.0,44.0,44.0,43.75,43.75
2021-01-25,0.0,1,44.0,44.0,44.0,43.75,43.75,44.0
2021-01-26,5.012426584904972e-11,1,44.0,44.0,43.75,43.75,44.0,44.0
2021-01-27,0.0,1,44.0,43.75,43.75,44.0,44.0,43.75
2021-01-28,5.992059626258595e-11,1,43.75,43.75,44.0,44.0,43.75,43.75
2021-01-29,-9.307268844516159e-11,1,43.75,44.0,44.0,43.75,43.75,43.75
2021-01-30,0.0,1,44.0,44.0,43.75,43.75,43.75,43.75
2021-01-31,0.0,1,44.0,43.75,43.75,43.75,43.75,43.75
2021-02-01,0.0,1,43.75,43.75,43.75,43.75,43.75,43.75
2021-02-02,0.0,1,43.75,43.75,43.75,43.75,43.75,43.75
2021-02-03,0.0,1,43.75,43.75,43.75,43.75,43.75,43.75
2021-02-04,2.6904062311317034e-11,1,43.75,43.75,43.75,43.75,43.75,43.5
2021-02-05,5.6615268029247545e-12,1,43.75,43.75,43.75,43.75,43.5,41.76
2021-02-06,0.0,1,43.75,43.75,43.75,43.5,41.76,42.24
2021-02-07,0.0,1,43.75,43.75,43.5,41.76,42.24,42.24
2021-02-08,-7.322688289068681e-10,1,43.75,43.5,41.76,42.24,42.24,42.0
2021-02-09,3.860217701046054e-12,1,43.5,41.76,42.24,42.24,42.0,40.48
2021-02-10,3.854638830347312e-12,1,41.76,42.24,42.24,42.0,40.48,38.28
2021-02-11,1.0613285250649084e-10,1,42.24,42.24,42.0,40.48,38.28,38.28
2021-02-12,-4.1655678906238336e-11,1,42.24,42.0,40.48,38.28,38.28,38.28
2021-02-13,0.0,1,42.0,40.48,38.28,38.28,38.28,38.28
2021-02-14,0.0,1,40.48,38.28,38.28,38.28,38.28,38.28
2021-02-15,6.587101697430593e-10,1,38.28,38.28,38.28,38.28,38.28,38.28
2021-02-16,-3.860217701046054e-12,1,38.28,38.28,38.28,38.28,38.28,38.28
2021-02-17,-3.245768653847847e-10,1,38.28,38.28,38.28,38.28,38.28,38.28
2021-02-18,-1.9295751108039383e-10,1,38.28,38.28,38.28,38.28,38.28,38.06
2021-02-19,1.1874534688871563e-10,1,38.28,38.28,38.28,38.28,38.06,38.06
2021-02-20,-4.1071812617587966e-11,1,38.28,38.28,38.28,38.06,38.06,38.28
2021-02-21,0.0,1,38.28,38.28,38.06,38.06,38.28,38.06
2021-02-22,7.355865916380822e-11,1,38.28,38.06,38.06,38.28,38.06,38.06
2021-02-23,0.0,1,38.06,38.06,38.28,38.06,38.06,38.49999999999999
2021-02-24,3.207222265544374e-10,1,38.06,38.28,38.06,38.06,38.49999999999999,38.06
2021-02-25,-3.3294395018756966e-11,1,38.28,38.06,38.06,38.49999999999999,38.06,36.32999999999999
2021-02-26,-8.275119478540205e-11,1,38.06,38.06,38.49999999999999,38.06,36.32999999999999,36.32999999999999
2021-02-27,4.1071812617587966e-11,1,38.06,38.49999999999999,38.06,36.32999999999999,36.32999999999999,36.32999999999999
2021-02-28,0.0,1,38.49999999999999,38.06,36.32999999999999,36.32999999999999,36.32999999999999,36.11999999999999
2021-03-01,0.0,1,38.06,36.32999999999999,36.32999999999999,36.32999999999999,36.11999999999999,35.91
2021-03-02,0.0,1,36.32999999999999,36.32999999999999,36.32999999999999,36.11999999999999,35.91,36.11999999999999
2021-03-03,0.0,1,36.32999999999999,36.32999999999999,36.11999999999999,35.91,36.11999999999999,36.32999999999999
2021-03-04,1.1580297831770276e-10,1,36.32999999999999,36.11999999999999,35.91,36.11999999999999,36.32999999999999,36.11999999999999
2021-03-05,0.0,1,36.11999999999999,35.91,36.11999999999999,36.32999999999999,36.11999999999999,36.11999999999999
2021-03-06,1.232120516725388e-10,1,35.91,36.11999999999999,36.32999999999999,36.11999999999999,36.11999999999999,36.11999999999999
2021-03-07,0.0,1,36.11999999999999,36.32999999999999,36.11999999999999,36.11999999999999,36.11999999999999,36.32999999999999
2021-03-08,0.0,1,36.32999999999999,36.11999999999999,36.11999999999999,36.11999999999999,36.32999999999999,36.32999999999999
2021-03-09,0.0,1,36.11999999999999,36.11999999999999,36.11999999999999,36.32999999999999,36.32999999999999,36.32999999999999
2021-03-10,0.0,1,36.11999999999999,36.11999999999999,36.32999999999999,36.32999999999999,36.32999999999999,36.32999999999999
2021-03-11,1.0490686097597288e-10,1,36.11999999999999,36.32999999999999,36.32999999999999,36.32999999999999,36.32999999999999,36.32999999999999
2021-03-12,0.0,1,36.32999999999999,36.32999999999999,36.32999999999999,36.32999999999999,36.32999999999999,36.32999999999999
2021-03-13,-1.9655932437245838e-10,1,36.32999999999999,36.32999999999999,36.32999999999999,36.32999999999999,36.32999999999999,36.32999999999999
2021-03-14,0.0,1,36.32999999999999,36.32999999999999,36.32999999999999,36.32999999999999,36.32999999999999,36.32999999999999
2021-03-15,-7.45156714110351e-12,1,36.32999999999999,36.32999999999999,36.32999999999999,36.32999999999999,36.32999999999999,38.06
2021-03-16,1.8001414248125508e-10,1,36.32999999999999,36.32999999999999,36.32999999999999,36.32999999999999,38.06,38.06
2021-03-17,0.0,1,36.32999999999999,36.32999999999999,36.32999999999999,38.06,38.06,38.28
2021-03-18,-1.8741544427491874e-10,1,36.32999999999999,36.32999999999999,38.06,38.06,38.28,38.28
2021-03-19,0.0,1,36.32999999999999,38.06,38.06,38.28,38.28,38.06
2021-03-20,7.334727269991959e-11,1,38.06,38.06,38.28,38.28,38.06,37.84
2021-03-21,0.0,1,38.06,38.28,38.28,38.06,37.84,37.84
2021-03-22,7.45156714110351e-12,1,38.28,38.28,38.06,37.84,37.84,37.84
2021-03-23,-1.8001414248125508e-10,1,38.28,38.06,37.84,37.84,37.84,37.62
2021-03-24,0.0,1,38.06,37.84,37.84,37.84,37.62,38.06
2021-03-25,0.0,1,37.84,37.84,37.84,37.62,38.06,34.39999999999999
2021-03-26,1.3852530234004234e-11,1,37.84,37.84,37.62,38.06,34.39999999999999,34.39999999999999
2021-03-27,6.809294794685172e-11,1,37.84,37.62,38.06,34.39999999999999,34.39999999999999,34.2
2021-03-28,0.0,1,37.62,38.06,34.39999999999999,34.39999999999999,34.2,33.99999999999999
2021-03-29,-3.380468127645031e-11,1,38.06,34.39999999999999,34.39999999999999,34.2,33.99999999999999,34.39999999999999
2021-03-30,0.0,1,34.39999999999999,34.39999999999999,34.2,33.99999999999999,34.39999999999999,34.39999999999999
2021-03-31,-1.4013665228240768e-10,1,34.39999999999999,34.2,33.99999999999999,34.39999999999999,34.39999999999999,33.99999999999999
2021-04-01,0.0,1,34.2,33.99999999999999,34.39999999999999,34.39999999999999,33.99999999999999,34.39999999999999
2021-04-02,-1.3852530234004234e-11,1,33.99999999999999,34.39999999999999,34.39999999999999,33.99999999999999,34.39999999999999,34.2
2021-04-03,-6.809294794685172e-11,1,34.39999999999999,34.39999999999999,33.99999999999999,34.39999999999999,34.2,34.39999999999999
2021-04-04,0.0,1,34.39999999999999,33.99999999999999,34.39999999999999,34.2,34.39999999999999,34.599999999999994
2021-04-05,3.380468127645031e-11,1,33.99999999999999,34.39999999999999,34.2,34.39999999999999,34.599999999999994,34.599999999999994
2021-04-06,0.0,1,34.39999999999999,34.2,34.39999999999999,34.599999999999994,34.599999999999994,33.79999999999999
2021-04-07,1.4013665228240768e-10,1,34.2,34.39999999999999,34.599999999999994,34.599999999999994,33.79999999999999,34.39999999999999
2021-04-08,0.0,1,34.39999999999999,34.599999999999994,34.599999999999994,33.79999999999999,34.39999999999999,34.79999999999999
2021-04-09,0.0,1,34.599999999999994,34.599999999999994,33.79999999999999,34.39999999999999,34.79999999999999,35.19999999999999
2021-04-10,0.0,1,34.599999999999994,33.79999999999999,34.39999999999999,34.79999999999999,35.19999999999999,34.99999999999999
2021-04-11,0.0,1,33.79999999999999,34.39999999999999,34.79999999999999,35.19999999999999,34.99999999999999,34.99999999999999
2021-04-12,3.3598451798511064e-10,1,34.39999999999999,34.79999999999999,35.19999999999999,34.99999999999999,34.99999999999999,34.99999999999999
2021-04-13,0.0,1,34.79999999999999,35.19999999999999,34.99999999999999,34.99999999999999,34.99999999999999,34.99999999999999
2021-04-14,0.0,1,35.19999999999999,34.99999999999999,34.99999999999999,34.99999999999999,34.99999999999999,34.99999999999999
2021-04-15,-6.265377106018377e-12,1,34.99999999999999,34.99999999999999,34.99999999999999,34.99999999999999,34.99999999999999,36.74999999999999
2021-04-16,0.0,1,34.99999999999999,34.99999999999999,34.99999999999999,34.99999999999999,36.74999999999999,36.74999999999999
2021-04-17,-3.139266624430093e-12,1,34.99999999999999,34.99999999999999,34.99999999999999,36.74999999999999,36.74999999999999,38.49999999999999
2021-04-18,-3.1436797609529776e-12,1,34.99999999999999,34.99999999999999,36.74999999999999,36.74999999999999,38.49999999999999,38.94
2021-04-19,-3.3598451798511064e-10,1,34.99999999999999,36.74999999999999,36.74999999999999,38.49999999999999,38.94,38.94
2021-04-20,6.28294638538307e-12,1,36.74999999999999,36.74999999999999,38.49999999999999,38.94,38.94,37.17
2021-04-21,0.0,1,36.74999999999999,38.49999999999999,38.94,38.94,37.17,37.38
2021-04-22,6.265377106018377e-12,1,38.49999999999999,38.94,38.94,37.17,37.38,37.59
2021-04-23,0.0,1,38.94,38.94,37.17,37.38,37.59,37.8
2021-04-24,3.139266624430093e-12,1,38.94,37.17,37.38,37.59,37.8,38.00999999999999
2021-04-25,-6.048644918266177e-11,1,37.17,37.38,37.59,37.8,38.00999999999999,38.21999999999999
2021-04-26,0.0,1,37.38,37.59,37.8,38.00999999999999,38.21999999999999,38.42999999999999
2021-04-27,1.6081580511695392e-13,1,37.59,37.8,38.00999999999999,38.21999999999999,38.42999999999999,36.39999999999999
2021-04-28,6.345174385913309e-11,1,37.8,38.00999999999999,38.21999999999999,38.42999999999999,36.39999999999999,36.39999999999999
2021-04-29,0.0,1,38.00999999999999,38.21999999999999,38.42999999999999,36.39999999999999,36.39999999999999,36.39999999999999
2021-04-30,0.0,1,38.21999999999999,38.42999999999999,36.39999999999999,36.39999999999999,36.39999999999999,36.39999999999999
2021-05-01,0.0,1,38.42999999999999,36.39999999999999,36.39999999999999,36.39999999999999,36.39999999999999,36.39999999999999
2021-05-02,6.363012894361475e-11,1,36.39999999999999,36.39999999999999,36.39999999999999,36.39999999999999,36.39999999999999,36.39999999999999
2021-05-03,0.0,1,36.39999999999999,36.39999999999999,36.39999999999999,36.39999999999999,36.39999999999999,36.79999999999999
2021-05-04,9.6244884284502e-10,1,36.39999999999999,36.39999999999999,36.39999999999999,36.39999999999999,36.79999999999999,36.99999999999999
2021-05-05,-6.345174385913309e-11,1,36.39999999999999,36.39999999999999,36.39999999999999,36.79999999999999,36.99999999999999,36.79999999999999
2021-05-06,0.0,1,36.39999999999999,36.39999999999999,36.79999999999999,36.99999999999999,36.79999999999999,38.39999999999999
2021-05-07,1.0641774406128235e-09,1,36.39999999999999,36.79999999999999,36.99999999999999,36.79999999999999,38.39999999999999,37.8
2021-05-08,0.0,1,36.79999999999999,36.99999999999999,36.79999999999999,38.39999999999999,37.8,37.8
2021-05-09,0.0,1,36.99999999999999,36.79999999999999,38.39999999999999,37.8,37.8,37.8
2021-05-10,0.0,1,36.79999999999999,38.39999999999999,37.8,37.8,37.8,38.00999999999999
2021-05-11,-9.72931818443712e-10,1,38.39999999999999,37.8,37.8,37.8,38.00999999999999,45.25
2021-05-12,0.0,1,37.8,37.8,37.8,38.00999999999999,45.25,45.25
2021-05-13,0.0,1,37.8,37.8,38.00999999999999,45.25,45.25,45.5
2021-05-14,-1.0641774406128235e-09,1,37.8,38.00999999999999,45.25,45.25,45.5,45.5
2021-05-15,0.0,1,38.00999999999999,45.25,45.25,45.5,45.5,45.25
2021-05-16,-2.9733410178423014e-11,1,45.25,45.25,45.5,45.5,45.25,45.5
2021-05-17,0.0,1,45.25,45.5,45.5,45.25,45.5,45.25
2021-05-18,4.039213408191245e-12,1,45.5,45.5,45.25,45.5,45.25,45.25
2021-05-19,0.0,1,45.5,45.25,45.5,45.25,45.25,45.25
2021-05-20,0.0,1,45.25,45.5,45.25,45.25,45.25,45.0
2021-05-21,0.0,1,45.5,45.25,45.25,45.25,45.0,44.75
2021-05-22,8.211220592357904e-11,1,45.25,45.25,45.25,45.0,44.75,50.120000000000005
2021-05-23,2.9733410178423014e-11,1,45.25,45.25,45.0,44.75,50.120000000000005,50.120000000000005
2021-05-24,-5.528213997685327e-11,1,45.25,45.0,44.75,50.120000000000005,50.120000000000005,50.400000000000006
2021-05-25,0.0,1,45.0,44.75,50.120000000000005,50.120000000000005,50.400000000000006,50.400000000000006
2021-05-26,-9.08325414883393e-10,1,44.75,50.120000000000005,50.120000000000005,50.400000000000006,50.400000000000006,50.400000000000006
2021-05-27,0.0,1,50.120000000000005,50.120000000000005,50.400000000000006,50.400000000000006,50.400000000000006,50.120000000000005
2021-05-28,0.0,1,50.120000000000005,50.400000000000006,50.400000000000006,50.400000000000006,50.120000000000005,50.120000000000005
2021-05-29,-8.211220592357904e-11,1,50.400000000000006,50.400000000000006,50.400000000000006,50.120000000000005,50.120000000000005,49.84
2021-05-30,0.0,1,50.400000000000006,50.400000000000006,50.120000000000005,50.120000000000005,49.84,50.120000000000005
2021-05-31,5.528213997685327e-11,1,50.400000000000006,50.120000000000005,50.120000000000005,49.84,50.120000000000005,50.120000000000005
2021-06-01,0.0,1,50.120000000000005,50.120000000000005,49.84,50.120000000000005,50.120000000000005,50.120000000000005
