WELL_NAME,DATE,_merge
1.0,2020-08-16,left_only
1.0,2020-08-17,left_only
1.0,2020-08-18,left_only
1.0,2020-08-19,left_only
1.0,2020-08-20,left_only
1.0,2020-08-21,left_only
1.0,2020-08-22,left_only
1.0,2020-08-23,left_only
1.0,2020-08-24,left_only
1.0,2020-08-25,left_only
1.0,2020-08-26,left_only
1.0,2020-08-27,left_only
1.0,2020-08-28,left_only
1.0,2020-08-29,left_only
1.0,2020-08-30,left_only
1.0,2020-08-31,left_only
1.0,2020-09-01,left_only
1.0,2020-09-02,left_only
1.0,2020-09-03,left_only
1.0,2020-09-04,left_only
1.0,2020-09-05,left_only
1.0,2020-09-06,left_only
1.0,2020-09-07,left_only
1.0,2020-09-08,left_only
1.0,2020-09-09,left_only
1.0,2020-09-10,left_only
1.0,2020-09-11,left_only
1.0,2020-09-12,left_only
1.0,2020-09-13,left_only
1.0,2020-09-14,left_only
1.0,2020-09-15,left_only
1.0,2020-09-16,left_only
1.0,2020-09-17,left_only
1.0,2020-09-18,left_only
1.0,2020-09-19,left_only
1.0,2020-09-20,left_only
1.0,2020-09-21,left_only
1.0,2020-09-22,left_only
1.0,2020-09-23,left_only
1.0,2020-09-24,left_only
1.0,2020-09-25,left_only
1.0,2020-09-26,left_only
1.0,2020-09-27,left_only
1.0,2020-09-28,left_only
1.0,2020-09-29,left_only
1.0,2020-09-30,left_only
1.0,2020-10-01,left_only
1.0,2020-10-02,left_only
1.0,2020-10-03,left_only
1.0,2020-10-04,left_only
1.0,2020-10-05,left_only
1.0,2020-10-06,left_only
1.0,2020-10-07,left_only
1.0,2020-10-08,left_only
1.0,2020-10-09,left_only
1.0,2020-10-10,left_only
1.0,2020-10-11,left_only
1.0,2020-10-12,left_only
1.0,2020-10-13,left_only
1.0,2020-10-14,left_only
1.0,2020-10-15,left_only
1.0,2020-10-16,left_only
1.0,2020-10-17,left_only
1.0,2020-10-18,left_only
1.0,2020-10-19,left_only
1.0,2020-10-20,left_only
1.0,2020-10-21,left_only
1.0,2020-10-22,left_only
1.0,2020-10-23,left_only
1.0,2020-10-24,left_only
1.0,2020-10-25,left_only
1.0,2020-10-26,left_only
1.0,2020-10-27,left_only
1.0,2020-10-28,left_only
1.0,2020-10-29,left_only
1.0,2020-10-30,left_only
1.0,2020-10-31,left_only
1.0,2020-11-01,left_only
1.0,2020-11-02,left_only
1.0,2020-11-03,left_only
1.0,2020-11-04,left_only
1.0,2020-11-05,left_only
1.0,2020-11-06,left_only
1.0,2020-11-07,left_only
1.0,2020-11-08,left_only
1.0,2020-11-09,left_only
1.0,2020-11-10,left_only
1.0,2020-11-11,left_only
1.0,2020-11-12,left_only
1.0,2020-11-13,left_only
1.0,2020-11-14,left_only
1.0,2020-11-15,left_only
1.0,2020-11-16,left_only
1.0,2020-11-17,left_only
1.0,2020-11-18,left_only
1.0,2020-11-19,left_only
